"","id","titulo","fechaInicio","fechaFin","horarios","latitud","longitud","direccion","descripcion","enlace","categoria"
"1",1,"Taller de Experimentación Gráfica","2025-05-15","2025-12-31","Lunes y viernes de 6:00 pm a 9:00 pm, o sábados de 10:00 am a 4:00 pm",19.391957,-99.15035369,"Tepozteco 35, Narvarte Oriente, Benito Juárez, 03023 Ciudad de México, CDMX","Este taller está enfocado en explorar y desarrollar tus habilidades de experimentación, partiendo del pensamiento gráﬁco y cómo puedes utilizarlo en diversos medios. A través de un enfoque práctico y libre, crearás piezas artísticas mientras comprendes los fundamentos técnicos y conceptuales de la gráﬁca y sus posibilidades creativas.","https://talleres.bolster.club/","arte"
"2",2,"Drink and Draw en Bolster","2025-05-15","2025-12-31","Miércoles 7:00 PM",19.391957,-99.15035369,"Tepozteco 35, Narvarte Oriente, Benito Juárez, 03023 Ciudad de México, CDMX","Sesiones de dibujo con modelo en vivo. Un espacio para observar, trazar y soltar la mano, sin importar tu nivel","https://talleres.bolster.club/","arte"
"3",3,"Game night","2025-05-15","2025-12-31","Todos los Miércoles, 5:00 PM a 10:00 PM",19.351349,-99.1534817,"Av Miguel Hidalgo 44, San Lucas, Coyoacán, 04030 Ciudad de México, CDMX"," Todas las tardes de los miércoles estaremos con gusto visitando a nuestros amigos de Kitchens Market para echar las partidas familiares a partir de las 5:00 pm. Variedad de comida y juegos de mesa.","https://www.instagram.com/p/DKU_WO5P2ia/","boardgames"
"4",4,"Fortuna Bazar LITHA","2025-07-05"," 2025-07-06","11:00 AM a 8:00 PM",19.351349,-99.1534817,"Av Miguel Hidalgo 44, San Lucas, Coyoacán, 04030 Ciudad de México, CDMX","Aparta la fecha y no te pierdas las marcas mágicas y creativas de casa y marcas nuevas que estarán participando con nosotros, además de una tarde veraniega con tintos de verano y baile con djs, de magia con lecturas de oráculos y terapias y muy artística con danzas rituales para el sol."," https://www.instagram.com/p/DKS98VlN8wv/","espiritualidad"
"5",5,"12 Princesas en Pugna","2025-01-25","2025-12-31","Jueves 20:30 horas",19.396336,-99.159974,"Eje 4 Sur 809, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX","Todo se desarrolla en el castillo de Ceni, cuando ella realiza una misteriosa reunión para compartirles a sus amigas un secreto que la acongoja. Así, iremos descubriendo que todas las invitadas no son lo que aparentan y que, quizá, todos fuimos engañados con el “Felices para Siempre","https://carteleradeteatro.mx/2012/12-princesas-en-pugna/","teatro"
"6",6,"2:22 Una historia paranormal","2025-01-25","2025-12-31","Sábado 18:00 y 20:45 horas, domingo 18:00 horas",19.396336,-99.159974,"Eje 4 Sur 809, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX","Eli y su esposo Sam, una pareja con perspectivas opuestas sobre lo paranormal, se mudan a una misteriosa casa. Mientras Eli siente que una presencia fantasmal se cierne sobre ellos, Sam se aferra a la lógica y la razón. Cuando sus amigos Laura y Fer se unen para cenar, la noche toma un giro inquietante. ¿Puede la frontera entre la vida y la muerte ser cruzada? La cuenta regresiva comienza, esperando el misterio que aguarda a las 2:22… ¿Descubrirás su secreto?","https://carteleradeteatro.mx/2023/222-una-historia-paranormal/","teatro"
"7",7,"Las Crónicas del Diablo: Cine de Oro Mexicano","2025-05-07","2025-06-25","Miércoles 20:30 horas",19.396336,-99.159974,"Eje 4 Sur 809, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX","El Diablo vuelve al escenario con su característico sarcasmo para guiarnos a través de los grandes mitos del celuloide mexicano. Entre claquetas, sombreros y botellas de tequila, esta obra no solo rinde homenaje, sino que desenmascara a las glorias y fantasmas del Cine de Oro… con el estilo único que ha enamorado a la audiencia.","https://carteleradeteatro.mx/2025/las-cronicas-del-diablo/","teatro"
"8",8,"Hasta que la mafia nos separe","2025-06-13","2025-06-15","Viernes 20:30 horas",19.396336,-99.159974,"Eje 4 Sur 809, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX","Una comedia que si bien no es una sátira a las películas del padrino sí le da un cambio a las historias de Gangsters italianos; aunque tratamos el tema de la mafia, realmente lo más interesante son las situaciones ridículas en las que caen los dos capos de la mafia, que protagonizan esta obra, con la llegada del hijo de uno de ellos, que no se distingue precisamente por su inteligencia. Todo sucede en la casa del capo italiano en Roma, Italia","https://carteleradeteatro.mx/2023/hasta-que-la-mafia-nos-separe/","teatro"
"9",9,"Imminence","2025-09-30","2025-09-30","8:00 pm",19.406386,-99.125843,"Calz. de la Viga 146, Jamaica, Venustiano Carranza, 15800 Ciudad de México, CDMX","IMMINENCE – 30 DE SEPTIEMBRE – CDMX ¡Ya estamos oficialmente a la venta en su nuevo recinto: el Circo Volador! Gracias a su apoyo, el show en el Foro Indie Rocks se llenó por completo, y ahora la banda se prepara para un recinto más grande y épico. Imminence llega con más fuerza, más público... y ahora con acceso para todas las edades.","https://arema.mx/e/15011","música"
"10",10,"IC3PEAK","2025-12-31","2025-12-31","8:30 pm",19.404154,-99.100490,"Añil 467, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX","IC3PEAK – 3 NOV – CDMX No es solo un show. Es rabia, belleza y resistencia hecha sonido. Después de dos shows agotados en el Lunario, IC3PEAK vuelve a México, ahora en el Pabellón Oeste. Nuevas canciones. Más intensidad. El mismo fuego que arde en quienes no encajan. 🎟 Boletos ya en Ticketmaster (Con Comisión extra) y taquillas del Pabellón (Sin comisión).","https://www.ticketmaster.com.mx/ic3peak-mexico-03-11-2025/event/140062D49289149F","música"
